lluvia,geometry
81.0,"POLYGON ((-71.7035259784202 -34.800734106790266, -71.7035259784202 -34.84564987099624, -71.64962706137304 -34.84564987099624, -71.64962706137304 -34.800734106790266, -71.7035259784202 -34.800734106790266))"
77.0,"POLYGON ((-71.64962706137304 -34.800734106790266, -71.64962706137304 -34.84564987099624, -71.59572814432586 -34.84564987099624, -71.59572814432586 -34.800734106790266, -71.64962706137304 -34.800734106790266))"
70.0,"POLYGON ((-71.5508123801199 -34.800734106790266, -71.5508123801199 -34.84564987099624, -71.49691346307272 -34.84564987099624, -71.49691346307272 -34.800734106790266, -71.5508123801199 -34.800734106790266))"
69.0,"POLYGON ((-71.49691346307272 -34.800734106790266, -71.49691346307272 -34.84564987099624, -71.45199769886675 -34.84564987099624, -71.45199769886675 -34.800734106790266, -71.49691346307272 -34.800734106790266))"
67.0,"POLYGON ((-71.45199769886675 -34.800734106790266, -71.45199769886675 -34.84564987099624, -71.39809878181957 -34.84564987099624, -71.39809878181957 -34.800734106790266, -71.45199769886675 -34.800734106790266))"
62.0,"POLYGON ((-71.39809878181957 -34.800734106790266, -71.39809878181957 -34.84564987099624, -71.29928410056642 -34.84564987099624, -71.29928410056642 -34.800734106790266, -71.39809878181957 -34.800734106790266))"
63.0,"POLYGON ((-71.29928410056642 -34.800734106790266, -71.29928410056642 -34.84564987099624, -71.25436833636044 -34.84564987099624, -71.25436833636044 -34.800734106790266, -71.29928410056642 -34.800734106790266))"
69.0,"POLYGON ((-71.20046941931328 -34.746835189743095, -71.1465705022661 -34.746835189743095, -71.1465705022661 -34.800734106790266, -71.20046941931328 -34.800734106790266, -71.20046941931328 -34.84564987099624, -71.25436833636044 -34.84564987099624, -71.25436833636044 -34.800734106790266, -71.20046941931328 -34.800734106790266, -71.20046941931328 -34.746835189743095))"
77.0,"POLYGON ((-71.20046941931328 -34.800734106790266, -71.20046941931328 -34.84564987099624, -71.1465705022661 -34.84564987099624, -71.1465705022661 -34.800734106790266, -71.20046941931328 -34.800734106790266))"
84.0,"POLYGON ((-71.1465705022661 -34.800734106790266, -71.1465705022661 -34.84564987099624, -71.10165473806013 -34.84564987099624, -71.10165473806013 -34.800734106790266, -71.1465705022661 -34.800734106790266))"
79.0,"POLYGON ((-71.10165473806013 -34.800734106790266, -71.10165473806013 -34.84564987099624, -71.04775582101296 -34.84564987099624, -71.04775582101296 -34.800734106790266, -71.10165473806013 -34.800734106790266))"
78.0,"POLYGON ((-71.04775582101296 -34.800734106790266, -71.04775582101296 -34.84564987099624, -71.00284005680699 -34.84564987099624, -71.00284005680699 -34.800734106790266, -71.04775582101296 -34.800734106790266))"
85.0,"POLYGON ((-71.00284005680699 -34.800734106790266, -71.00284005680699 -34.84564987099624, -70.94894113975981 -34.84564987099624, -70.94894113975981 -34.800734106790266, -71.00284005680699 -34.800734106790266))"
88.0,"POLYGON ((-70.94894113975981 -34.800734106790266, -70.94894113975981 -34.84564987099624, -70.90402537555383 -34.84564987099624, -70.90402537555383 -34.800734106790266, -70.94894113975981 -34.800734106790266))"
89.0,"POLYGON ((-70.90402537555383 -34.800734106790266, -70.90402537555383 -34.84564987099624, -70.85012645850667 -34.84564987099624, -70.85012645850667 -34.800734106790266, -70.90402537555383 -34.800734106790266))"
87.0,"POLYGON ((-70.85012645850667 -34.800734106790266, -70.85012645850667 -34.84564987099624, -70.79622754145949 -34.84564987099624, -70.79622754145949 -34.800734106790266, -70.85012645850667 -34.800734106790266))"
86.0,"POLYGON ((-70.79622754145949 -34.800734106790266, -70.79622754145949 -34.84564987099624, -70.75131177725352 -34.84564987099624, -70.75131177725352 -34.800734106790266, -70.79622754145949 -34.800734106790266))"
95.0,"POLYGON ((-70.75131177725352 -34.800734106790266, -70.75131177725352 -34.84564987099624, -70.69741286020634 -34.84564987099624, -70.69741286020634 -34.800734106790266, -70.75131177725352 -34.800734106790266))"
100.0,"POLYGON ((-70.69741286020634 -34.800734106790266, -70.69741286020634 -34.84564987099624, -70.65249709600037 -34.84564987099624, -70.65249709600037 -34.800734106790266, -70.69741286020634 -34.800734106790266))"
100.0,"POLYGON ((-70.5985981789532 -34.800734106790266, -70.5985981789532 -34.84564987099624, -70.55368241474721 -34.84564987099624, -70.55368241474721 -34.800734106790266, -70.5985981789532 -34.800734106790266))"
110.0,"POLYGON ((-70.55368241474721 -34.800734106790266, -70.55368241474721 -34.84564987099624, -70.49978349770005 -34.84564987099624, -70.49978349770005 -34.800734106790266, -70.55368241474721 -34.800734106790266))"
115.0,"POLYGON ((-70.49978349770005 -34.800734106790266, -70.49978349770005 -34.84564987099624, -70.44588458065287 -34.84564987099624, -70.44588458065287 -34.800734106790266, -70.49978349770005 -34.800734106790266))"
109.0,"POLYGON ((-70.44588458065287 -34.800734106790266, -70.44588458065287 -34.84564987099624, -70.4009688164469 -34.84564987099624, -70.4009688164469 -34.800734106790266, -70.44588458065287 -34.800734106790266))"
110.0,"POLYGON ((-70.4009688164469 -34.800734106790266, -70.4009688164469 -34.84564987099624, -70.34706989939973 -34.84564987099624, -70.34706989939973 -34.800734106790266, -70.4009688164469 -34.800734106790266))"
23.0,"POLYGON ((-72.19759938468594 -34.746835189743095, -72.15268362047998 -34.746835189743095, -72.15268362047998 -34.84564987099624, -72.19759938468594 -34.84564987099624, -72.19759938468594 -34.89954878804341, -72.25149830173312 -34.89954878804341, -72.25149830173312 -34.84564987099624, -72.19759938468594 -34.84564987099624, -72.19759938468594 -34.746835189743095))"
26.0,"POLYGON ((-72.19759938468594 -34.84564987099624, -72.19759938468594 -34.89954878804341, -72.15268362047998 -34.89954878804341, -72.15268362047998 -34.84564987099624, -72.19759938468594 -34.84564987099624))"
